SignatureTest.html                                                                                             Passed.
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#setParameterList_Test                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#setParameter_Test                       Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#setPrimaryType_Test                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#setSubType_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ContentType/testlist.html#toString_Test                           Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/HeaderTokenizer/testlist.html#getRemainder_Test                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/HeaderTokenizer/testlist.html#headerTokenizer_Test                Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/HeaderTokenizer/testlist.html#next_Test                           Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/HeaderTokenizer/testlist.html#peek_Test                           Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/InternetAddress/testlist.html#getAddress_Test                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/InternetAddress/testlist.html#getPersonal_Test                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/InternetAddress/testlist.html#getType_Test                        Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetAddress/testlist.html#internetAddress_Test                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetAddress/testlist.html#setAddress_Test                     Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetAddress/testlist.html#setPersonal_Test                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/InternetAddress/testlist.html#unicode_Test                        Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetAddress/testlist.html#utilmethods_Test                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#InternetHeaders_Test                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#accessProtected_Test                Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#addHeaderLine_Test                  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#addHeader_Test                      Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#getAllHeaderLines_Test              Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#getAllHeaders_Test                  Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#getMatchHeadLines_Test              Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#getMatchingHeaders_Test             Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#getNonMatchHeadLines_Test           Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#getNonMatchHead_Test                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#load_Test                           Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#removeHeader_Test                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/InternetHeaders/testlist.html#setHeader_Test                      Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MailDateFormat/testlist.html#unsupportedOperation_Test            Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeBodyPart/testlist.html#addHeaderLine_Test                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeBodyPart/testlist.html#addHeader_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeBodyPart/testlist.html#attachFile_saveFile_Test               Failed.
api/javasoft/sqe/tests/jakarta/mail/internet/MimeBodyPart/testlist.html#getAllHeaderLines_Test                 Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeBodyPart/testlist.html#getAllHeaders_Test                     Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeBodyPart/testlist.html#getContentID_Test                      Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeBodyPart/testlist.html#getContentLanguage_Test                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeBodyPart/testlist.html#getContentMD5_Test                     Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeBodyPart/testlist.html#getContentType_Test                    Failed. EXCEPTION
